input1,input2,output
-0.137094,0.899654,A
0.542574,-0.492435,A
-0.658204,0.60511,B
-0.86982,0.519287,A
0.67861,0.346579,B
0.186743,-0.38523,A
0.254768,-0.651996,A
-0.3666,-0.865114,A
0.134406,-0.343083,B
-0.014929,0.150961,B
0.325971,-0.992276,A
0.963842,0.09394,A
-0.906254,-0.158387,A
-0.493524,-0.547124,B
-0.106125,-0.806331,A
0.220624,-0.883067,A
0.598772,-0.249684,B
-0.40899,0.182398,B
0.898234,-0.683527,B
0.493173,-0.001781,B
-0.836579,-0.939411,A
0.403602,-0.827982,A
-0.856445,-0.029333,B
-0.673487,-0.373275,B
-0.625533,0.922606,A
0.25788,0.832257,A
-0.46435,-0.097584,B
0.63781,0.910526,A
-0.337659,0.185658,A
0.402292,-0.144775,B
-0.957481,0.344263,A
-0.730373,0.306255,B
0.817953,0.231723,B
-0.677677,0.629073,A
-0.346868,0.618424,A
-0.717085,0.585819,A
0.429302,-0.307056,B
-0.022581,-0.30594,A
-0.708281,-0.052412,B
-0.069541,-0.38632,B
-0.819308,0.222838,B
-0.64598,-0.960726,A
-0.751555,-0.179226,A
0.952928,0.837181,A
0.770058,0.724045,A
-0.985316,0.558373,A
0.627297,-0.375093,B
-0.044264,0.291289,B
-0.129009,-0.116415,B
-0.725406,-0.512385,A
0.537496,-0.95727,B
0.263772,-0.034122,B
0.23596,-0.16031,A
0.787505,-0.824633,A
0.215205,0.235883,B
-0.517369,0.940688,A
-0.534351,0.845009,A
0.062988,0.595478,B
-0.761234,-0.980357,B
-0.105575,0.724574,A
-0.319205,0.851667,A
0.087901,-0.46891,B
-0.210166,0.47268,B
-0.636534,-0.248337,A
-0.631729,-0.662849,A
-0.02187,0.568932,A
-0.556538,0.946906,A
-0.848149,0.568161,A
0.190377,0.47729,B
-0.247088,0.408575,B
-0.477354,-0.291429,B
0.220294,0.008942,B
0.022642,0.371524,B
-0.181921,-0.304182,B
0.476025,0.405182,B
-0.796723,0.417514,B
0.642106,0.013904,B
-0.336085,0.716344,B
-0.067051,0.072763,A
0.467272,-0.691375,A
-0.658376,0.371181,A
0.807558,0.087455,B
-0.702975,0.715727,A
0.983054,-0.416564,A
-0.543766,-0.206592,B
-0.536166,-0.309856,A
0.77218,-0.488776,B
-0.01099,0.513448,B
0.698236,0.852109,A
-0.824261,-0.56927,A
-0.296699,0.177772,B
0.237257,0.058206,A
-0.754779,-0.127806,A
-0.224765,0.867469,A
-0.183491,-0.299926,B
0.489348,-0.083401,B
0.1538,-0.037625,B
0.721783,-0.190941,A
0.86465,0.217565,A
0.601747,0.346892,B
0.621423,-0.879685,A
-0.260078,-0.91458,A
0.867736,0.482816,A
-0.251278,0.825272,A
0.835824,0.157517,A
0.799705,-0.809081,A
-0.423462,-0.926842,A
0.726448,0.474528,A
-0.634378,0.108279,B
0.744353,0.798132,A
-0.415239,0.307048,B
-0.725437,0.485805,B
-0.898767,0.340495,A
0.134693,0.520801,B
-0.099309,-0.296302,B
0.180116,0.047055,B
0.314245,-0.128649,B
0.330735,0.791109,B
0.682458,-0.89935,A
0.415851,0.554558,B
-0.187631,-0.242583,A
0.415933,-0.141741,B
0.175767,0.744045,B
0.351424,0.3985,B
0.000258,0.64764,B
-0.946036,-0.852694,A
0.53294,0.589628,B
-0.499003,-0.320789,B
-0.155934,0.298758,B
-0.819653,-0.899934,A
-0.562803,-0.182646,B
0.350209,0.649009,B
-0.635826,0.428178,B
0.018304,0.054658,A
-0.348877,-0.902403,A
-0.02815,-0.882146,A
0.869771,-0.575975,A
-0.766453,-0.802006,A
-0.283014,-0.164568,B
-0.18112,0.814576,A
-0.794816,0.331821,A
0.526983,-0.538923,A
0.968477,0.554606,A
-0.761393,0.565584,A
-0.203102,0.114248,A
0.023504,-0.513379,B
0.161578,-0.272754,B
0.706207,0.188949,B
-0.564653,-0.458,A
-0.621129,-0.405179,A
0.11651,0.729393,B
0.050876,-0.064663,A
0.636078,0.661769,A
0.295101,0.440752,B
-0.041008,0.532755,B
0.353496,0.909096,A
0.663305,-0.903718,A
-0.380658,-0.040088,B
-0.578241,0.790116,A
-0.443461,-0.075887,B
0.861364,-0.764537,A
-0.912843,0.520706,A
0.342888,-0.644467,B
0.063796,0.674741,B
-0.891784,-0.834607,A
-0.226862,-0.349014,B
-0.855841,-0.636091,A
-0.499102,0.582601,A
-0.17658,-0.879212,A
0.001772,-0.634153,B
-0.404936,0.188125,B
-0.521877,0.866549,A
0.30029,-0.920503,A
-0.552299,0.786643,B
-0.35352,0.302795,B
-0.577511,0.598626,B
-0.036919,0.274298,B
0.774256,0.513848,B
0.073562,-0.778012,B
-0.595831,-0.794955,A
0.218451,0.614835,A
0.682084,0.07273,B
0.352021,-0.31714,B
0.376102,0.0336,B
0.877231,0.353208,A
-0.074846,0.274223,B
0.793385,-0.599773,A
0.235372,-0.511952,B
0.112283,0.709014,B
0.369182,-0.592275,B
-0.964608,0.061644,A
-0.366765,-0.641723,A
-0.213985,-0.460147,B
-0.2684,-0.276599,B
0.97245,0.256489,A
-0.999339,0.091164,A
0.791198,0.601381,A
0.050508,-0.821903,A
0.915267,0.714792,A
