=== Run information ===

Scheme:       weka.classifiers.functions.LinearRegression -S 0 -R 1.0E-8 -num-decimal-places 4
Relation:     ring-merged-weka
Instances:    10000
Attributes:   3
              input1
              input2
              output
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Classifier model (full training set) ===


Linear Regression Model

output =

      0.0212 * input1 +
      0.4486

Time taken to build model: 0.02 seconds

=== Predictions on test set ===

inst#,actual,predicted,error
1,1,0.459,-0.541
2,1,0.461,-0.539
3,0,0.468,0.468
4,0,0.452,0.452
5,0,0.439,0.439
6,1,0.465,-0.535
7,0,0.436,0.436
8,1,0.445,-0.555
9,1,0.436,-0.564
10,0,0.469,0.469
11,0,0.454,0.454
12,0,0.437,0.437
13,0,0.469,0.469
14,1,0.435,-0.565
15,1,0.459,-0.541
16,0,0.433,0.433
17,0,0.459,0.459
18,1,0.456,-0.544
19,1,0.445,-0.555
20,1,0.442,-0.558
21,0,0.435,0.435
22,0,0.467,0.467
23,1,0.442,-0.558
24,0,0.465,0.465
25,0,0.449,0.449
26,0,0.467,0.467
27,1,0.436,-0.564
28,0,0.451,0.451
29,1,0.461,-0.539
30,1,0.454,-0.546
31,0,0.462,0.462
32,0,0.468,0.468
33,1,0.443,-0.557
34,1,0.464,-0.536
35,0,0.46,0.46
36,1,0.452,-0.548
37,0,0.431,0.431
38,1,0.445,-0.555
39,1,0.455,-0.545
40,1,0.463,-0.537
41,0,0.469,0.469
42,1,0.452,-0.548
43,0,0.437,0.437
44,0,0.428,0.428
45,1,0.439,-0.561
46,1,0.443,-0.557
47,1,0.454,-0.546
48,0,0.466,0.466
49,1,0.455,-0.545
50,1,0.44,-0.56
51,1,0.442,-0.558
52,1,0.465,-0.535
53,0,0.465,0.465
54,0,0.463,0.463
55,0,0.467,0.467
56,1,0.455,-0.545
57,0,0.454,0.454
58,1,0.451,-0.549
59,1,0.457,-0.543
60,0,0.47,0.47
61,0,0.432,0.432
62,1,0.462,-0.538
63,0,0.464,0.464
64,0,0.468,0.468
65,1,0.436,-0.564
66,0,0.431,0.431
67,1,0.464,-0.536
68,0,0.466,0.466
69,0,0.463,0.463
70,1,0.439,-0.561
71,1,0.437,-0.563
72,1,0.462,-0.538
73,1,0.442,-0.558
74,0,0.428,0.428
75,0,0.463,0.463
76,1,0.449,-0.551
77,0,0.434,0.434
78,0,0.445,0.445
79,1,0.458,-0.542
80,1,0.443,-0.557
81,1,0.461,-0.539
82,1,0.44,-0.56
83,0,0.465,0.465
84,0,0.463,0.463
85,1,0.459,-0.541
86,1,0.44,-0.56
87,1,0.451,-0.549
88,0,0.429,0.429
89,1,0.436,-0.564
90,1,0.448,-0.552
91,0,0.45,0.45
92,1,0.443,-0.557
93,1,0.442,-0.558
94,0,0.464,0.464
95,0,0.467,0.467
96,1,0.448,-0.552
97,1,0.448,-0.552
98,0,0.438,0.438
99,1,0.44,-0.56
100,0,0.428,0.428
101,0,0.461,0.461
102,1,0.442,-0.558
103,0,0.449,0.449
104,1,0.457,-0.543
105,0,0.466,0.466
106,1,0.458,-0.542
107,1,0.452,-0.548
108,1,0.443,-0.557
109,1,0.455,-0.545
110,1,0.459,-0.541
111,1,0.457,-0.543
112,0,0.468,0.468
113,0,0.461,0.461
114,0,0.439,0.439
115,1,0.448,-0.552
116,1,0.448,-0.552
117,0,0.444,0.444
118,1,0.461,-0.539
119,1,0.463,-0.537
120,1,0.456,-0.544
121,0,0.428,0.428
122,0,0.45,0.45
123,1,0.457,-0.543
124,0,0.45,0.45
125,1,0.438,-0.562
126,1,0.445,-0.555
127,0,0.43,0.43
128,1,0.462,-0.538
129,0,0.43,0.43
130,1,0.446,-0.554
131,1,0.457,-0.543
132,1,0.45,-0.55
133,0,0.458,0.458
134,0,0.452,0.452
135,0,0.453,0.453
136,0,0.46,0.46
137,1,0.438,-0.562
138,0,0.463,0.463
139,0,0.428,0.428
140,0,0.47,0.47
141,1,0.455,-0.545
142,0,0.435,0.435
143,0,0.447,0.447
144,1,0.462,-0.538
145,1,0.465,-0.535
146,0,0.43,0.43
147,1,0.441,-0.559
148,0,0.468,0.468
149,0,0.469,0.469
150,0,0.433,0.433
151,1,0.464,-0.536
152,1,0.449,-0.551
153,0,0.433,0.433
154,0,0.444,0.444
155,0,0.433,0.433
156,0,0.463,0.463
157,0,0.463,0.463
158,1,0.434,-0.566
159,0,0.43,0.43
160,1,0.443,-0.557
161,0,0.452,0.452
162,0,0.459,0.459
163,1,0.438,-0.562
164,0,0.448,0.448
165,1,0.435,-0.565
166,1,0.456,-0.544
167,1,0.446,-0.554
168,0,0.441,0.441
169,1,0.438,-0.562
170,1,0.46,-0.54
171,1,0.461,-0.539
172,0,0.449,0.449
173,1,0.448,-0.552
174,1,0.445,-0.555
175,1,0.448,-0.552
176,0,0.456,0.456
177,0,0.469,0.469
178,0,0.437,0.437
179,0,0.427,0.427
180,0,0.459,0.459
181,0,0.431,0.431
182,1,0.454,-0.546
183,0,0.445,0.445
184,0,0.437,0.437
185,1,0.435,-0.565
186,0,0.44,0.44
187,1,0.457,-0.543
188,0,0.466,0.466
189,0,0.468,0.468
190,0,0.465,0.465
191,1,0.442,-0.558
192,0,0.435,0.435
193,1,0.463,-0.537
194,1,0.441,-0.559
195,1,0.46,-0.54
196,0,0.429,0.429
197,0,0.456,0.456
198,0,0.462,0.462
199,0,0.43,0.43
200,0,0.435,0.435
201,0,0.468,0.468
202,1,0.439,-0.561
203,1,0.45,-0.55
204,1,0.453,-0.547
205,1,0.452,-0.548
206,1,0.456,-0.544
207,0,0.467,0.467
208,1,0.451,-0.549
209,0,0.469,0.469
210,0,0.444,0.444
211,1,0.441,-0.559
212,1,0.455,-0.545
213,1,0.438,-0.562
214,1,0.433,-0.567
215,1,0.448,-0.552
216,1,0.456,-0.544
217,0,0.465,0.465
218,0,0.431,0.431
219,1,0.442,-0.558
220,0,0.458,0.458
221,0,0.442,0.442
222,1,0.459,-0.541
223,1,0.447,-0.553
224,0,0.453,0.453
225,1,0.442,-0.558
226,1,0.446,-0.554
227,0,0.434,0.434
228,1,0.45,-0.55
229,0,0.449,0.449
230,1,0.445,-0.555
231,0,0.449,0.449
232,0,0.43,0.43
233,1,0.437,-0.563
234,0,0.433,0.433
235,0,0.43,0.43
236,0,0.448,0.448
237,0,0.449,0.449
238,0,0.433,0.433
239,0,0.43,0.43
240,0,0.468,0.468
241,1,0.444,-0.556
242,0,0.441,0.441
243,1,0.457,-0.543
244,0,0.469,0.469
245,1,0.434,-0.566
246,0,0.43,0.43
247,0,0.469,0.469
248,1,0.443,-0.557
249,0,0.433,0.433
250,0,0.43,0.43
251,1,0.459,-0.541
252,1,0.446,-0.554
253,1,0.442,-0.558
254,0,0.469,0.469
255,0,0.443,0.443
256,0,0.467,0.467
257,0,0.431,0.431
258,1,0.444,-0.556
259,0,0.437,0.437
260,0,0.465,0.465
261,1,0.442,-0.558
262,1,0.462,-0.538
263,1,0.449,-0.551
264,1,0.44,-0.56
265,0,0.434,0.434
266,0,0.461,0.461
267,0,0.444,0.444
268,0,0.445,0.445
269,1,0.457,-0.543
270,0,0.45,0.45
271,0,0.431,0.431
272,0,0.43,0.43
273,0,0.433,0.433
274,0,0.438,0.438
275,1,0.455,-0.545
276,1,0.452,-0.548
277,1,0.457,-0.543
278,1,0.444,-0.556
279,0,0.468,0.468
280,1,0.459,-0.541
281,1,0.439,-0.561
282,1,0.434,-0.566
283,1,0.451,-0.549
284,1,0.454,-0.546
285,0,0.444,0.444
286,0,0.433,0.433
287,0,0.463,0.463
288,0,0.467,0.467
289,0,0.434,0.434
290,0,0.447,0.447
291,0,0.469,0.469
292,1,0.438,-0.562
293,1,0.443,-0.557
294,1,0.449,-0.551
295,1,0.438,-0.562
296,1,0.442,-0.558
297,1,0.437,-0.563
298,0,0.464,0.464
299,1,0.449,-0.551
300,1,0.455,-0.545
301,1,0.462,-0.538
302,0,0.454,0.454
303,0,0.451,0.451
304,0,0.465,0.465
305,0,0.462,0.462
306,0,0.433,0.433
307,1,0.451,-0.549
308,0,0.468,0.468
309,1,0.452,-0.548
310,0,0.466,0.466
311,1,0.461,-0.539
312,0,0.46,0.46
313,0,0.459,0.459
314,1,0.441,-0.559
315,1,0.442,-0.558
316,0,0.446,0.446
317,1,0.436,-0.564
318,0,0.431,0.431
319,0,0.466,0.466
320,1,0.446,-0.554
321,0,0.437,0.437
322,1,0.45,-0.55
323,1,0.459,-0.541
324,0,0.461,0.461
325,1,0.464,-0.536
326,1,0.452,-0.548
327,1,0.439,-0.561
328,0,0.469,0.469
