=== Run information ===

Scheme:       weka.classifiers.functions.LinearRegression -S 0 -R 1.0E-8 -num-decimal-places 4
Relation:     ring-separable-weka
Instances:    10000
Attributes:   3
              input1
              input2
              output
Test mode:    evaluate on training data

=== Classifier model (full training set) ===


Linear Regression Model

output =

      0.0169 * input1 +
      0.4798

Time taken to build model: 0.05 seconds

=== Predictions on training set ===

inst#,actual,predicted,error
1,0,0.477,0.477
2,1,0.489,-0.511
3,0,0.469,0.469
4,0,0.465,0.465
5,1,0.491,-0.509
6,1,0.483,-0.517
7,1,0.484,-0.516
8,0,0.474,0.474
9,1,0.482,-0.518
10,0,0.48,0.48
11,0,0.485,0.485
12,0,0.496,0.496
13,0,0.464,0.464
14,1,0.471,-0.529
15,0,0.478,0.478
16,0,0.483,0.483
17,1,0.49,-0.51
18,1,0.473,-0.527
19,0,0.495,0.495
20,1,0.488,-0.512
21,0,0.466,0.466
22,0,0.487,0.487
23,0,0.465,0.465
24,1,0.468,-0.532
25,0,0.469,0.469
26,0,0.484,0.484
27,1,0.472,-0.528
28,0,0.491,0.491
29,1,0.474,-0.526
30,1,0.487,-0.513
31,0,0.464,0.464
32,1,0.467,-0.533
33,0,0.494,0.494
34,0,0.468,0.468
35,1,0.474,-0.526
36,0,0.468,0.468
37,1,0.487,-0.513
38,1,0.479,-0.521
39,1,0.468,-0.532
40,1,0.479,-0.521
41,0,0.466,0.466
42,0,0.469,0.469
43,1,0.467,-0.533
44,0,0.496,0.496
45,0,0.493,0.493
46,0,0.463,0.463
47,1,0.49,-0.51
48,1,0.479,-0.521
49,0,0.478,0.478
50,0,0.468,0.468
51,0,0.489,0.489
52,1,0.484,-0.516
53,1,0.484,-0.516
54,0,0.493,0.493
55,1,0.483,-0.517
56,0,0.471,0.471
57,0,0.471,0.471
58,1,0.481,-0.519
59,0,0.467,0.467
60,1,0.478,-0.522
61,0,0.474,0.474
62,1,0.481,-0.519
63,1,0.476,-0.524
64,1,0.469,-0.531
65,0,0.469,0.469
66,1,0.479,-0.521
67,0,0.47,0.47
68,0,0.465,0.465
69,1,0.483,-0.517
70,1,0.476,-0.524
71,1,0.472,-0.528
72,1,0.483,-0.517
73,1,0.48,-0.52
74,1,0.477,-0.523
75,1,0.488,-0.512
76,0,0.466,0.466
77,1,0.491,-0.509
78,1,0.474,-0.526
79,0,0.479,0.479
80,0,0.488,0.488
81,1,0.469,-0.531
82,0,0.493,0.493
83,0,0.468,0.468
84,0,0.496,0.496
85,1,0.471,-0.529
86,1,0.471,-0.529
87,0,0.493,0.493
88,1,0.48,-0.52
89,0,0.492,0.492
90,0,0.466,0.466
91,1,0.475,-0.525
92,1,0.484,-0.516
93,1,0.467,-0.533
94,0,0.476,0.476
95,1,0.477,-0.523
96,1,0.488,-0.512
97,0,0.482,0.482
98,1,0.492,-0.508
99,0,0.494,0.494
100,1,0.49,-0.51
101,0,0.49,0.49
102,0,0.475,0.475
103,0,0.494,0.494
104,0,0.476,0.476
105,0,0.494,0.494
106,0,0.493,0.493
107,0,0.473,0.473
108,0,0.492,0.492
109,1,0.469,-0.531
110,0,0.492,0.492
111,1,0.473,-0.527
112,0,0.468,0.468
113,0,0.465,0.465
114,1,0.482,-0.518
115,1,0.478,-0.522
116,0,0.483,0.483
117,1,0.485,-0.515
118,0,0.485,0.485
119,0,0.491,0.491
120,1,0.487,-0.513
121,1,0.477,-0.523
122,1,0.487,-0.513
123,1,0.483,-0.517
124,1,0.486,-0.514
125,1,0.48,-0.52
126,0,0.464,0.464
127,1,0.489,-0.511
128,1,0.471,-0.529
129,1,0.477,-0.523
130,0,0.466,0.466
131,1,0.47,-0.53
132,1,0.486,-0.514
133,1,0.469,-0.531
134,0,0.48,0.48
135,0,0.474,0.474
136,0,0.479,0.479
137,0,0.494,0.494
138,0,0.467,0.467
139,1,0.475,-0.525
140,0,0.477,0.477
141,0,0.466,0.466
142,1,0.489,-0.511
143,0,0.496,0.496
144,0,0.467,0.467
145,1,0.476,-0.524
146,1,0.48,-0.52
147,1,0.482,-0.518
148,1,0.492,-0.508
149,1,0.47,-0.53
150,1,0.469,-0.531
151,1,0.482,-0.518
152,0,0.481,0.481
153,0,0.49,0.49
154,1,0.485,-0.515
155,1,0.479,-0.521
156,0,0.486,0.486
157,0,0.491,0.491
158,1,0.473,-0.527
159,0,0.47,0.47
160,1,0.472,-0.528
161,0,0.494,0.494
162,0,0.464,0.464
163,1,0.486,-0.514
164,1,0.481,-0.519
165,0,0.465,0.465
166,1,0.476,-0.524
167,0,0.465,0.465
168,1,0.471,-0.529
169,0,0.477,0.477
170,1,0.48,-0.52
171,1,0.473,-0.527
172,0,0.471,0.471
173,0,0.485,0.485
174,0,0.47,0.47
175,1,0.474,-0.526
176,0,0.47,0.47
177,1,0.479,-0.521
178,0,0.493,0.493
179,1,0.481,-0.519
180,0,0.47,0.47
181,1,0.483,-0.517
182,1,0.491,-0.509
183,1,0.486,-0.514
184,1,0.486,-0.514
185,0,0.495,0.495
186,1,0.478,-0.522
187,0,0.493,0.493
188,1,0.484,-0.516
189,1,0.482,-0.518
190,1,0.486,-0.514
191,0,0.463,0.463
192,1,0.474,-0.526
193,1,0.476,-0.524
194,1,0.475,-0.525
195,0,0.496,0.496
196,0,0.463,0.463
197,0,0.493,0.493
198,0,0.481,0.481
199,0,0.495,0.495
200,0,0.465,0.465
201,1,0.485,-0.515
202,1,0.477,-0.523
203,0,0.492,0.492
204,0,0.484,0.484
205,0,0.463,0.463
206,0,0.466,0.466
207,0,0.495,0.495
208,1,0.482,-0.518
209,1,0.474,-0.526
210,0,0.489,0.489
211,1,0.476,-0.524
212,0,0.495,0.495
213,0,0.484,0.484
214,0,0.491,0.491
215,0,0.469,0.469
216,0,0.492,0.492
217,0,0.465,0.465
218,1,0.467,-0.533
219,0,0.496,0.496
220,0,0.472,0.472
221,0,0.468,0.468
222,1,0.485,-0.515
223,0,0.473,0.473
224,1,0.476,-0.524
225,1,0.478,-0.522
226,1,0.479,-0.521
227,1,0.473,-0.527
228,1,0.492,-0.508
229,0,0.475,0.475
230,1,0.468,-0.532
231,0,0.48,0.48
232,1,0.481,-0.519
233,1,0.469,-0.531
234,1,0.483,-0.517
235,1,0.473,-0.527
236,0,0.483,0.483
237,1,0.487,-0.513
238,0,0.483,0.483
239,1,0.467,-0.533
240,1,0.474,-0.526
241,0,0.482,0.482
242,0,0.474,0.474
243,0,0.465,0.465
244,0,0.463,0.463
245,0,0.467,0.467
246,1,0.467,-0.533
247,1,0.477,-0.523
248,0,0.487,0.487
249,1,0.469,-0.531
250,0,0.476,0.476
251,1,0.479,-0.521
252,0,0.464,0.464
253,1,0.481,-0.519
254,1,0.48,-0.52
255,0,0.494,0.494
256,1,0.477,-0.523
257,1,0.479,-0.521
258,0,0.482,0.482
259,1,0.476,-0.524
260,1,0.476,-0.524
261,0,0.465,0.465
262,0,0.465,0.465
263,0,0.468,0.468
264,0,0.483,0.483
265,0,0.492,0.492
266,0,0.495,0.495
267,1,0.469,-0.531
268,1,0.487,-0.513
269,0,0.494,0.494
270,1,0.473,-0.527
271,1,0.469,-0.531
272,1,0.482,-0.518
273,0,0.467,0.467
274,0,0.495,0.495
275,1,0.49,-0.51
276,0,0.476,0.476
277,0,0.464,0.464
278,1,0.48,-0.52
279,1,0.491,-0.509
280,0,0.466,0.466
281,0,0.469,0.469
282,0,0.481,0.481
283,0,0.478,0.478
284,1,0.483,-0.517
285,0,0.483,0.483
286,1,0.486,-0.514
287,1,0.474,-0.526
288,1,0.478,-0.522
289,0,0.471,0.471
290,1,0.479,-0.521
291,1,0.483,-0.517
292,0,0.471,0.471
293,0,0.473,0.473
294,1,0.49,-0.51
295,0,0.493,0.493
296,0,0.464,0.464
297,0,0.489,0.489
298,0,0.488,0.488
299,0,0.464,0.464
300,1,0.489,-0.511
301,1,0.488,-0.512
302,0,0.494,0.494
303,0,0.464,0.464
304,0,0.469,0.469
305,1,0.484,-0.516
306,0,0.493,0.493
307,1,0.472,-0.528
308,1,0.484,-0.516
309,1,0.476,-0.524
310,1,0.485,-0.515
311,0,0.496,0.496
312,0,0.464,0.464
313,1,0.479,-0.521
314,1,0.477,-0.523
315,1,0.482,-0.518
316,1,0.487,-0.513
317,1,0.489,-0.511
318,1,0.477,-0.523
319,1,0.487,-0.513
320,0,0.469,0.469
321,1,0.468,-0.532
322,0,0.483,0.483
323,0,0.472,0.472
324,0,0.466,0.466
325,1,0.488,-0.512
326,1,0.474,-0.526
327,0,0.47,0.47
328,0,0.493,0.493
329,0,0.488,0.488
330,0,0.488,0.488
331,0,0.494,0.494
332,1,0.488,-0.512
333,1,0.486,-0.514
334,1,0.476,-0.524
335,1,0.484,-0.516
336,0,0.481,0.481
337,1,0.473,-0.527
338,1,0.484,-0.516
339,0,0.465,0.465
340,1,0.471,-0.529
341,1,0.469,-0.531
342,1,0.484,-0.516
343,0,0.489,0.489
344,1,0.488,-0.512
345,1,0.48,-0.52
346,0,0.491,0.491
347,0,0.465,0.465
348,1,0.476,-0.524
349,0,0.492,0.492
350,1,0.471,-0.529
351,0,0.492,0.492
352,1,0.474,-0.526
353,1,0.48,-0.52
354,0,0.473,0.473
355,0,0.493,0.493
356,1,0.471,-0.529
357,0,0.463,0.463
358,1,0.484,-0.516
359,1,0.487,-0.513
360,1,0.483,-0.517
361,0,0.488,0.488
362,1,0.472,-0.528
363,1,0.485,-0.515
364,1,0.481,-0.519
365,0,0.478,0.478
366,0,0.495,0.495
367,0,0.493,0.493
368,0,0.469,0.469
369,1,0.481,-0.519
370,1,0.482,-0.518
371,1,0.483,-0.517
372,0,0.47,0.47
373,0,0.47,0.47
374,0,0.472,0.472
375,1,0.486,-0.514
376,1,0.467,-0.533
377,0,0.472,0.472
378,0,0.492,0.492
379,1,0.468,-0.532
380,0,0.466,0.466
381,1,0.469,-0.531
382,1,0.478,-0.522
383,0,0.495,0.495
384,0,0.496,0.496
385,1,0.481,-0.519
386,1,0.491,-0.509
387,1,0.481,-0.519
388,1,0.467,-0.533
389,0,0.474,0.474
390,0,0.463,0.463
391,0,0.492,0.492
392,1,0.472,-0.528
393,0,0.471,0.471
394,0,0.495,0.495
395,0,0.468,0.468
396,1,0.485,-0.515
397,0,0.496,0.496
398,0,0.479,0.479
399,0,0.471,0.471
400,1,0.49,-0.51
401,0,0.496,0.496
402,0,0.466,0.466
403,0,0.465,0.465
404,0,0.477,0.477
405,0,0.492,0.492
406,1,0.483,-0.517
407,1,0.483,-0.517
408,0,0.486,0.486
409,1,0.474,-0.526
410,1,0.471,-0.529
411,0,0.465,0.465
412,1,0.48,-0.52
413,0,0.474,0.474
414,1,0.472,-0.528
415,1,0.49,-0.51
416,0,0.465,0.465
417,1,0.469,-0.531
418,1,0.474,-0.526
419,0,0.491,0.491
420,0,0.482,0.482
421,0,0.492,0.492
422,0,0.487,0.487
423,1,0.479,-0.521
424,1,0.493,-0.507
425,1,0.479,-0.521
426,0,0.463,0.463
427,0,0.489,0.489
428,1,0.478,-0.522
429,1,0.486,-0.514
430,0,0.467,0.467
431,1,0.471,-0.529
432,0,0.465,0.465
433,0,0.496,0.496
434,0,0.467,0.467
435,1,0.476,-0.524
436,0,0.467,0.467
437,0,0.465,0.465
438,1,0.472,-0.528
439,1,0.485,-0.515
440,0,0.468,0.468
441,1,0.476,-0.524
442,0,0.465,0.465
443,0,0.467,0.467
444,1,0.473,-0.527
445,1,0.485,-0.515
446,1,0.477,-0.523
447,0,0.466,0.466
448,0,0.494,0.494
449,1,0.478,-0.522
450,1,0.468,-0.532
451,1,0.492,-0.508
452,1,0.471,-0.529
453,1,0.484,-0.516
454,0,0.493,0.493
455,0,0.491,0.491
456,0,0.467,0.467
457,0,0.475,0.475
458,0,0.496,0.496
459,0,0.49,0.49
460,1,0.479,-0.521
461,0,0.486,0.486
462,0,0.483,0.483
463,1,0.487,-0.513
464,1,0.481,-0.519
465,0,0.469,0.469
466,1,0.485,-0.515
467,1,0.483,-0.517
468,0,0.491,0.491
469,0,0.465,0.465
470,1,0.493,-0.507
471,0,0.485,0.485
472,0,0.497,0.497
473,1,0.481,-0.519
474,1,0.493,-0.507
475,0,0.496,0.496
476,1,0.474,-0.526
477,0,0.474,0.474
478,0,0.496,0.496
479,1,0.487,-0.513
480,1,0.489,-0.511
481,0,0.469,0.469
482,1,0.482,-0.518
483,0,0.494,0.494
484,0,0.488,0.488
485,0,0.48,0.48
486,0,0.495,0.495
487,0,0.47,0.47
488,1,0.471,-0.529
489,0,0.475,0.475
490,1,0.481,-0.519
491,0,0.473,0.473
492,1,0.486,-0.514
493,0,0.476,0.476
494,1,0.473,-0.527
495,0,0.492,0.492
496,1,0.479,-0.521
497,1,0.477,-0.523
498,0,0.476,0.476
499,0,0.465,0.465
500,1,0.487,-0.513
501,1,0.468,-0.532
502,1,0.474,-0.526
503,0,0.465,0.465
504,1,0.483,-0.517
505,1,0.472,-0.528
506,0,0.464,0.464
507,1,0.475,-0.525
508,1,0.473,-0.527
509,0,0.468,0.468
510,1,0.479,-0.521
511,0,0.494,0.494
512,0,0.47,0.47
513,1,0.467,-0.533
514,1,0.486,-0.514
515,1,0.483,-0.517
516,1,0.487,-0.513
517,1,0.479,-0.521
518,0,0.464,0.464
519,0,0.471,0.471
520,1,0.48,-0.52
521,1,0.471,-0.529
522,0,0.47,0.47
523,1,0.467,-0.533
524,1,0.474,-0.526
525,0,0.493,0.493
526,1,0.475,-0.525
527,1,0.485,-0.515
528,0,0.479,0.479
529,1,0.484,-0.516
530,1,0.467,-0.533
531,1,0.472,-0.528
532,0,0.491,0.491
533,1,0.476,-0.524
534,0,0.481,0.481
535,1,0.475,-0.525
536,1,0.478,-0.522
537,0,0.486,0.486
538,1,0.477,-0.523
539,0,0.467,0.467
540,1,0.486,-0.514
541,1,0.483,-0.517
542,0,0.481,0.481
543,0,0.49,0.49
544,0,0.483,0.483
545,1,0.474,-0.526
546,0,0.47,0.47
547,0,0.466,0.466
548,1,0.479,-0.521
549,0,0.494,0.494
550,0,0.495,0.495
551,1,0.489,-0.511
552,1,0.471,-0.529
553,1,0.487,-0.513
554,0,0.489,0.489
555,1,0.469,-0.531
556,1,0.472,-0.528
557,1,0.485,-0.515
558,1,0.467,-0.533
559,1,0.476,-0.524
560,0,0.471,0.471
561,1,0.481,-0.519
562,1,0.473,-0.527
563,1,0.477,-0.523
564,0,0.48,0.48
565,0,0.469,0.469
566,1,0.473,-0.527
567,1,0.483,-0.517
568,1,0.481,-0.519
569,1,0.487,-0.513
570,1,0.493,-0.507
571,1,0.488,-0.512
572,1,0.475,-0.525
573,1,0.481,-0.519
574,1,0.485,-0.515
575,1,0.484,-0.516
576,0,0.493,0.493
577,0,0.465,0.465
