=== Run information ===

Scheme:       weka.classifiers.misc.InputMappedClassifier -I -trim -W weka.classifiers.functions.LibSVM -- -S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model / -seed 1
Relation:     ring-separable-weka-letters
Instances:    10000
Attributes:   3
              input1
              input2
              output
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Classifier model (full training set) ===

InputMappedClassifier:

LibSVM wrapper, original code by Yasser EL-Manzalawy (= WLSVM)
Attribute mappings:

Model attributes  	    Incoming attributes
------------------	    ----------------
(numeric) input1  	--> 1 (numeric) input1
(numeric) input2  	--> 2 (numeric) input2
(nominal) output  	--> 3 (nominal) output


Time taken to build model: 4.82 seconds

=== Predictions on test set ===

inst#,actual,predicted,error,prediction
1,2:B,2:B,,1
2,2:B,2:B,,1
3,1:A,1:A,,1
4,1:A,2:B,+,1
5,1:A,1:A,,1
6,2:B,1:A,+,1
7,1:A,1:A,,1
8,2:B,2:B,,1
9,2:B,2:B,,1
10,1:A,1:A,,1
11,1:A,1:A,,1
12,1:A,1:A,,1
13,1:A,1:A,,1
14,2:B,2:B,,1
15,2:B,2:B,,1
16,1:A,1:A,,1
17,1:A,1:A,,1
18,2:B,2:B,,1
19,2:B,2:B,,1
20,2:B,1:A,+,1
21,1:A,1:A,,1
22,1:A,1:A,,1
23,2:B,2:B,,1
24,1:A,1:A,,1
25,1:A,2:B,+,1
26,1:A,1:A,,1
27,2:B,2:B,,1
28,1:A,1:A,,1
29,2:B,2:B,,1
30,2:B,2:B,,1
31,1:A,1:A,,1
32,1:A,1:A,,1
33,2:B,2:B,,1
34,2:B,2:B,,1
35,1:A,1:A,,1
36,2:B,2:B,,1
37,1:A,1:A,,1
38,2:B,2:B,,1
39,2:B,2:B,,1
40,2:B,2:B,,1
41,1:A,1:A,,1
42,2:B,2:B,,1
43,1:A,1:A,,1
44,1:A,1:A,,1
45,2:B,2:B,,1
46,2:B,2:B,,1
47,2:B,2:B,,1
48,1:A,1:A,,1
49,2:B,2:B,,1
50,2:B,2:B,,1
51,2:B,2:B,,1
52,2:B,2:B,,1
53,1:A,1:A,,1
54,1:A,1:A,,1
55,1:A,1:A,,1
56,2:B,2:B,,1
57,1:A,1:A,,1
58,2:B,2:B,,1
59,2:B,2:B,,1
60,1:A,1:A,,1
61,1:A,1:A,,1
62,2:B,2:B,,1
63,1:A,1:A,,1
64,1:A,1:A,,1
65,2:B,2:B,,1
66,1:A,1:A,,1
67,2:B,2:B,,1
68,1:A,1:A,,1
69,1:A,1:A,,1
70,2:B,2:B,,1
71,2:B,2:B,,1
72,2:B,2:B,,1
73,2:B,2:B,,1
74,1:A,1:A,,1
75,1:A,1:A,,1
76,2:B,2:B,,1
77,1:A,1:A,,1
78,1:A,1:A,,1
79,2:B,2:B,,1
80,2:B,2:B,,1
81,2:B,1:A,+,1
82,2:B,2:B,,1
83,1:A,1:A,,1
84,1:A,1:A,,1
85,2:B,2:B,,1
86,2:B,2:B,,1
87,2:B,2:B,,1
88,1:A,1:A,,1
89,2:B,2:B,,1
90,2:B,2:B,,1
91,1:A,1:A,,1
92,2:B,2:B,,1
93,2:B,2:B,,1
94,1:A,1:A,,1
95,1:A,1:A,,1
96,2:B,2:B,,1
97,2:B,2:B,,1
98,1:A,1:A,,1
99,2:B,2:B,,1
100,1:A,1:A,,1
101,1:A,1:A,,1
102,2:B,2:B,,1
103,1:A,2:B,+,1
104,2:B,2:B,,1
105,1:A,1:A,,1
106,2:B,2:B,,1
107,2:B,2:B,,1
108,2:B,2:B,,1
109,2:B,2:B,,1
110,2:B,2:B,,1
